City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
7,Laureles,US,88.11,scattered clouds,26.1092,-97.4941,Los Fresnos Inn
8,Itarema,BR,75.65,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
11,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Hambantota,LK,79.86,overcast clouds,6.1241,81.1185,Bungalow 63
22,Manati,PR,83.77,overcast clouds,18.4275,-66.4921,Manati World Point Inn
26,Asheville,US,85.55,clear sky,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
30,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Nurota,UZ,77.95,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
50,Bubaque,GW,79.27,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
51,Tchollire,CM,75.56,scattered clouds,8.4022,14.1698,"Auberge ""l'amicale"""
52,Nishihara,JP,76.66,moderate rain,26.1842,127.7558,Minshuku Agaihama
61,Northampton,US,81.12,broken clouds,40.8754,-75.2499,Gateway Motel
63,Eureka,US,75.67,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
64,Lompoc,US,88.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
66,Prescott,US,89.94,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
70,Dera Bugti,PK,88.16,clear sky,29.0307,69.151,Nawab Bugti House
75,Cururupu,BR,75.34,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
76,Port Blair,IN,81.03,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
82,Butaritari,KI,82.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
83,Palmer,US,80.2,scattered clouds,42.1584,-72.3287,Wedgewood Motel
84,Faanui,PF,79.84,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Atuona,PF,76.68,light rain,-9.8,-139.0333,Villa Enata
90,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
93,Kavieng,PG,83.17,broken clouds,-2.5744,150.7967,Nusa Island Retreat
94,Camocim,BR,77.0,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
95,Shelburne,CA,75.36,clear sky,44.0787,-80.2041,The Retreat at the Farm
96,Bethel,US,80.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
100,Kourou,GF,82.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
101,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
102,Havelock,US,87.75,broken clouds,34.8791,-76.9013,Sherwood Motel
107,Jiazi,CN,78.96,heavy intensity rain,22.8779,116.067,Hotel Jin Hao
109,Victoria,HK,81.18,overcast clouds,22.2855,114.1577,Mini Central
110,San Patricio,US,89.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
111,Mitsamiouli,KM,77.47,few clouds,-11.3847,43.2844,Foyer ADM
115,Ibra,OM,80.8,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
117,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
125,Diplo,PK,84.6,scattered clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
128,Ilorin,NG,75.15,overcast clouds,8.5,4.55,SITY INN
132,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
134,Isangel,VU,80.11,scattered clouds,-19.55,169.2667,Tanna Lodge
139,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
148,Veraval,IN,83.98,few clouds,20.9,70.3667,Lords Inn Somnath
161,Khash,IR,78.73,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
166,Kapaa,US,87.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
169,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
171,Sigli,ID,77.41,overcast clouds,5.3848,95.9609,Losmen Dua Mali
173,Jamapa,MX,83.07,broken clouds,19.0333,-96.2333,El Secreto Spa
176,Sarangani,PH,83.66,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
186,Jalu,LY,76.66,clear sky,29.0331,21.5482,صاحبة الفخامة
187,Kutum,SD,80.58,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
191,Male,MV,82.2,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
192,Muscat,OM,89.62,scattered clouds,23.6139,58.5922,Mutrah Hotel
200,Gizo,SB,83.21,broken clouds,-8.103,156.8419,Imagination Island
211,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
216,Cabra,ES,86.67,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
218,Pontian Kecil,MY,77.27,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
222,Tautira,PF,79.32,scattered clouds,-17.7333,-149.15,Pension Oaoa
224,Pacific Grove,US,82.45,clear sky,36.6177,-121.9166,Lovers Point Inn
