City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,80.53,92,40,2.3,scattered clouds
1,Sao Bartolomeu De Messines,PT,37.2602,-8.2867,70.41,84,10,2.89,clear sky
2,Sorland,NO,67.667,12.6934,48.06,85,100,12.73,overcast clouds
3,Lagoa,PT,39.05,-27.9833,63.54,84,100,15.41,overcast clouds
4,Yellowknife,CA,62.456,-114.3525,73.92,31,75,9.22,broken clouds
5,Mahebourg,MU,-20.4081,57.7,70.25,64,58,16.2,broken clouds
6,Busselton,AU,-33.65,115.3333,62.56,66,53,12.75,broken clouds
7,Laureles,US,26.1092,-97.4941,88.11,63,40,16.11,scattered clouds
8,Itarema,BR,-2.9248,-39.9167,75.65,75,5,11.5,clear sky
9,Nanortalik,GL,60.1432,-45.2371,40.98,74,88,10.33,overcast clouds
10,Yelizovo,RU,53.1873,158.3805,60.12,55,20,4.0,few clouds
11,Vaini,TO,-21.2,-175.2,78.96,73,20,8.05,few clouds
12,Guasdualito,VE,7.2424,-70.7324,73.17,85,84,3.56,broken clouds
13,Manacapuru,BR,-3.2997,-60.6206,74.89,91,16,1.63,few clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,68.52,64,100,8.1,overcast clouds
15,Hambantota,LK,6.1241,81.1185,79.86,83,100,16.84,overcast clouds
16,Ginda,IN,30.6945,78.4932,66.88,40,0,6.2,clear sky
17,Mykhaylivka,UA,47.2724,35.2224,61.86,94,38,11.99,scattered clouds
18,Sakaraha,MG,-22.9,44.5333,63.0,64,14,4.18,few clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,54.09,77,100,7.4,overcast clouds
20,Souillac,MU,-20.5167,57.5167,71.83,67,29,12.53,scattered clouds
21,Rikitea,PF,-23.1203,-134.9692,73.0,70,41,8.32,scattered clouds
22,Manati,PR,18.4275,-66.4921,83.77,90,92,13.49,overcast clouds
23,Antofagasta,CL,-23.65,-70.4,56.48,85,54,6.46,broken clouds
24,Lithgow,AU,-33.4833,150.15,42.51,68,11,7.49,few clouds
25,Saint George,US,37.1041,-113.5841,90.95,6,0,9.22,clear sky
26,Asheville,US,35.6009,-82.554,85.55,81,0,4.61,clear sky
27,Narsaq,GL,60.9167,-46.05,50.22,50,100,6.53,overcast clouds
28,Sri Aman,MY,1.2376,111.4621,72.68,97,85,1.28,overcast clouds
29,Khani,GE,41.9563,42.9566,58.57,97,100,1.43,overcast clouds
30,Hilo,US,19.7297,-155.09,85.28,77,48,4.0,scattered clouds
31,Geraldton,AU,-28.7667,114.6,50.41,81,0,12.66,clear sky
32,Chuy,UY,-33.6971,-53.4616,53.46,92,7,5.91,clear sky
33,Krasnoarmeysk,RU,51.0239,45.6969,60.93,60,1,4.09,clear sky
34,Albany,US,42.6001,-73.9662,79.88,47,12,7.29,few clouds
35,Flinders,AU,-34.5833,150.8552,54.37,71,48,1.99,scattered clouds
36,Khatanga,RU,71.9667,102.5,50.23,56,18,10.76,few clouds
37,Valparaiso,CL,-33.0393,-71.6273,54.48,82,40,0.0,scattered clouds
